STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP_MM,TMAX_10THC,TMIN_10THC,AWND_MTRSPERSEC,CASUAL,REGISTERED ,TTLCNT
USW00003978,1/1/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",152,33,-5,39,331,654,985
USW00003978,1/2/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,11,-10,20,131,670,801
USW00003978,1/3/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,133,-32,21,120,1229,1349
USW00003978,1/4/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,122,-27,22,108,1454,1562
USW00003978,1/5/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,144,-38,24,82,1518,1600
USW00003978,1/6/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",147,61,22,46,88,1518,1606
USW00003978,1/7/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",61,33,0,42,148,1362,1510
USW00003978,1/8/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,28,-10,35,68,891,959
USW00003978,1/9/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,33,-66,21,54,768,822
USW00003978,1/10/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,17,-60,21,41,1280,1321
USW00003978,1/11/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,22,-55,19,43,1220,1263
USW00003978,1/12/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,89,-60,24,25,1137,1162
USW00003978,1/13/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,111,-43,36,38,1368,1406
USW00003978,1/14/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,100,11,52,54,1367,1421
USW00003978,1/15/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,33,-5,68,222,1026,1248
USW00003978,1/16/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,56,-10,31,251,953,1204
USW00003978,1/17/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,83,-38,31,117,883,1000
USW00003978,1/18/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,122,-16,29,9,674,683
USW00003978,1/19/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,83,-16,22,78,1572,1650
USW00003978,1/20/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,89,-32,36,83,1844,1927
USW00003978,1/21/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,117,33,13,75,1468,1543
USW00003978,1/22/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,100,11,43,93,888,981
USW00003978,1/23/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",5,72,-10,45,150,836,986
USW00003978,1/24/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",33,106,39,25,86,1330,1416
USW00003978,1/25/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",312,139,50,48,186,1799,1985
USW00003978,1/26/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,50,0,34,34,472,506
USW00003978,1/27/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,6,-21,36,15,416,431
USW00003978,1/28/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,72,-32,30,38,1129,1167
USW00003978,1/30/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",28,150,50,55,123,975,1098
USW00003978,1/31/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,50,6,62,140,956,1096
USW00003978,2/1/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,72,-21,29,42,1459,1501
USW00003978,2/2/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,122,-27,15,47,1313,1360
USW00003978,2/4/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,128,-16,0,72,1454,1526
USW00003978,2/5/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,106,-43,29,61,1489,1550
USW00003978,2/6/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,83,-27,32,88,1620,1708
USW00003978,2/7/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,6,-38,36,100,905,1005
USW00003978,2/8/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,28,-38,36,354,1269,1623
USW00003978,2/9/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,-27,-60,40,120,1592,1712
USW00003978,2/11/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,-66,-82,47,64,1466,1530
USW00003978,2/12/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,-71,-99,55,53,1552,1605
USW00003978,2/13/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,-66,-138,53,47,1491,1538
USW00003978,2/14/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,-132,-171,63,149,1597,1746
USW00003978,2/15/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,-138,-221,47,288,1184,1472
USW00003978,2/16/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",15,-21,-255,17,397,1192,1589
USW00003978,2/17/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",8,-16,-99,27,208,1705,1913
USW00003978,2/18/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,,-149,34,140,1675,1815
